Course Subject,Course Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Semester
ABE,469,Industry-Linked Design Project,0,15,20,10,0,2,0,0,0,0,0,0,0,S-15
ABE,488,Bioprocessing Biomass for Fuel,6,9,5,4,3,0,2,0,0,0,0,0,0,F-15
ABE,488,Bioprocessing Biomass for Fuel,6,14,4,2,3,0,0,0,0,0,0,0,0,F-16
ACCY,200,Fundamentals of Accounting,5,81,65,44,37,25,28,11,14,7,3,1,0,F-15
ACCY,200,Fundamentals of Accounting,2,29,14,16,18,11,10,7,3,2,3,0,0,S-16
ACCY,200,Fundamentals of Accounting,9,10,7,6,0,0,0,0,0,0,0,0,0,S-16
ACCY,200,Fundamentals of Accounting,4,34,34,20,21,13,5,11,6,2,4,1,1,S-15
ACCY,200,Fundamentals of Accounting,0,13,12,6,0,0,0,0,0,0,0,0,0,S-15
ACCY,200,Fundamentals of Accounting,4,93,57,32,57,22,20,17,4,3,4,2,1,F-16
ACCY,201,Accounting and Accountancy I,10,8,4,1,0,2,1,2,1,0,1,0,0,F-15
ACCY,201,Accounting and Accountancy I,0,6,4,5,2,5,4,1,1,0,0,0,1,F-15
ACCY,201,Accounting and Accountancy I,8,3,4,3,4,3,2,2,1,0,1,0,1,F-15
ACCY,201,Accounting and Accountancy I,2,6,3,2,2,4,3,5,0,0,0,0,3,F-15
ACCY,201,Accounting and Accountancy I,5,5,5,4,2,1,3,1,2,0,0,0,1,F-15
ACCY,201,Accounting and Accountancy I,4,6,3,5,2,5,1,0,0,0,1,0,0,F-15
ACCY,201,Accounting and Accountancy I,3,5,4,2,4,8,4,0,2,0,0,0,1,F-15
ACCY,201,Accounting and Accountancy I,2,7,4,3,7,2,0,2,0,0,0,0,1,F-15
ACCY,201,Accounting and Accountancy I,3,1,5,3,4,6,3,1,2,0,1,0,2,F-15
ACCY,201,Accounting and Accountancy I,3,6,2,4,4,4,2,0,2,0,1,0,3,F-15
ACCY,201,Accounting and Accountancy I,4,5,2,2,2,2,2,4,2,0,0,0,0,F-15
ACCY,201,Accounting and Accountancy I,2,2,6,4,3,4,2,3,2,0,0,0,2,F-15
ACCY,201,Accounting and Accountancy I,7,5,4,4,6,2,1,1,1,0,1,0,0,F-15
ACCY,201,Accounting and Accountancy I,1,3,5,7,3,5,0,3,0,0,0,0,1,F-15
ACCY,201,Accounting and Accountancy I,5,4,1,3,1,7,1,0,3,0,2,0,0,F-15
ACCY,201,Accounting and Accountancy I,1,7,4,3,2,6,2,2,2,0,1,0,1,F-15
ACCY,201,Accounting and Accountancy I,4,5,5,4,5,6,0,3,0,0,0,0,2,F-15
ACCY,201,Accounting and Accountancy I,4,5,1,2,2,8,1,1,1,0,1,0,1,F-15
ACCY,201,Accounting and Accountancy I,3,7,6,5,5,5,2,2,0,0,0,0,4,S-16
ACCY,201,Accounting and Accountancy I,5,14,6,4,3,5,2,2,0,0,0,0,6,S-16
ACCY,201,Accounting and Accountancy I,3,8,4,4,3,6,2,3,4,0,0,0,9,S-16
ACCY,201,Accounting and Accountancy I,4,17,9,4,5,5,1,1,1,0,0,0,0,S-16
ACCY,201,Accounting and Accountancy I,4,12,8,5,1,2,3,0,1,0,0,0,9,S-16
ACCY,201,Accounting and Accountancy I,3,15,5,6,7,3,0,1,1,0,0,0,3,S-16
ACCY,201,Accounting and Accountancy I,3,7,5,4,5,4,1,1,2,0,0,0,6,S-15
ACCY,201,Accounting and Accountancy I,2,8,7,5,5,4,3,1,1,0,0,0,3,S-15
ACCY,201,Accounting and Accountancy I,4,7,8,7,5,3,5,1,0,0,0,0,5,S-15
ACCY,201,Accounting and Accountancy I,3,10,11,1,2,2,5,1,0,0,1,0,5,S-15
ACCY,201,Accounting and Accountancy I,3,11,5,3,0,6,3,1,1,0,0,0,5,S-15
ACCY,201,Accounting and Accountancy I,1,8,3,5,3,10,3,1,2,0,2,0,2,S-15
ACCY,201,Accounting and Accountancy I,8,4,8,3,4,3,3,2,3,0,3,0,1,F-16
ACCY,201,Accounting and Accountancy I,1,0,3,1,2,3,4,3,1,0,3,0,4,F-16
ACCY,201,Accounting and Accountancy I,4,2,7,4,2,1,2,3,1,0,1,0,1,F-16
ACCY,201,Accounting and Accountancy I,3,5,3,0,4,2,2,3,1,0,2,0,2,F-16
ACCY,201,Accounting and Accountancy I,5,3,3,4,4,4,2,1,0,0,2,0,0,F-16
ACCY,201,Accounting and Accountancy I,5,4,3,2,3,4,1,3,1,0,4,0,1,F-16
ACCY,201,Accounting and Accountancy I,10,6,7,2,5,3,2,0,3,0,3,0,1,F-16
ACCY,201,Accounting and Accountancy I,7,7,9,3,4,3,2,2,1,0,2,0,4,F-16
ACCY,201,Accounting and Accountancy I,6,10,3,3,2,1,1,2,2,0,6,0,3,F-16
ACCY,201,Accounting and Accountancy I,6,7,6,2,2,4,0,2,2,0,4,0,5,F-16
ACCY,201,Accounting and Accountancy I,3,11,7,4,4,2,3,5,0,0,1,0,1,F-16
ACCY,201,Accounting and Accountancy I,5,11,5,1,5,4,2,0,2,0,3,0,2,F-16
ACCY,201,Accounting and Accountancy I,2,6,4,0,2,2,2,1,1,0,2,0,4,F-16
ACCY,201,Accounting and Accountancy I,2,3,11,4,10,3,4,2,1,0,1,0,0,F-16
ACCY,201,Accounting and Accountancy I,3,4,8,6,5,5,4,1,1,0,1,0,3,F-16
ACCY,201,Accounting and Accountancy I,4,9,4,0,4,3,6,2,1,0,2,0,2,F-16
ACCY,201,Accounting and Accountancy I,3,3,12,3,4,5,3,1,2,0,2,0,2,F-16
ACCY,201,Accounting and Accountancy I,7,7,12,3,1,4,3,0,1,0,3,0,1,F-16
ACCY,202,Accounting and Accountancy II,4,11,2,10,7,0,5,1,0,0,0,0,0,F-15
ACCY,202,Accounting and Accountancy II,7,8,1,5,6,1,1,4,1,0,0,0,3,F-15
ACCY,202,Accounting and Accountancy II,12,16,2,4,4,0,0,0,0,0,0,0,0,F-15
ACCY,202,Accounting and Accountancy II,6,7,0,9,7,2,1,7,0,0,0,0,0,F-15
ACCY,202,Accounting and Accountancy II,5,11,2,9,8,3,2,3,1,0,1,0,0,F-15
ACCY,202,Accounting and Accountancy II,2,7,1,6,5,3,4,1,0,0,0,0,0,S-16
ACCY,202,Accounting and Accountancy II,3,8,1,6,3,1,0,1,1,0,1,0,2,S-16
ACCY,202,Accounting and Accountancy II,1,9,1,6,6,1,0,0,2,0,0,0,1,S-16
ACCY,202,Accounting and Accountancy II,2,8,0,7,3,1,0,1,0,0,1,0,1,S-16
ACCY,202,Accounting and Accountancy II,5,5,2,4,2,5,2,1,1,0,1,0,1,S-16
ACCY,202,Accounting and Accountancy II,3,3,1,7,4,5,2,2,1,0,0,0,0,S-16
ACCY,202,Accounting and Accountancy II,2,11,2,6,5,1,1,0,0,0,0,0,0,S-16
ACCY,202,Accounting and Accountancy II,2,6,1,12,4,1,3,0,0,0,0,0,1,S-16
ACCY,202,Accounting and Accountancy II,1,8,2,5,5,4,0,2,1,0,0,0,1,S-16
ACCY,202,Accounting and Accountancy II,1,7,2,8,4,3,1,0,0,0,0,0,2,S-16
ACCY,202,Accounting and Accountancy II,0,2,2,11,7,4,2,0,0,0,2,0,0,S-16
ACCY,202,Accounting and Accountancy II,0,9,0,10,3,3,0,1,2,0,0,0,1,S-16
ACCY,202,Accounting and Accountancy II,2,5,0,7,7,3,2,1,1,0,0,0,0,S-16
ACCY,202,Accounting and Accountancy II,5,3,2,7,4,1,4,0,2,0,0,0,1,S-16
ACCY,202,Accounting and Accountancy II,2,3,2,6,8,1,2,0,1,0,1,0,1,S-16
ACCY,202,Accounting and Accountancy II,0,4,0,8,10,3,2,0,0,0,1,0,1,S-16
ACCY,202,Accounting and Accountancy II,6,9,0,6,6,0,0,3,1,0,1,0,1,S-15
ACCY,202,Accounting and Accountancy II,8,8,2,0,6,1,0,1,2,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,1,10,0,8,7,2,0,1,1,0,0,0,1,S-15
ACCY,202,Accounting and Accountancy II,1,7,2,8,4,2,2,5,0,0,2,0,0,S-15
ACCY,202,Accounting and Accountancy II,7,7,1,9,1,2,1,0,1,0,0,0,1,S-15
ACCY,202,Accounting and Accountancy II,6,17,1,5,3,2,0,0,0,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,1,7,3,10,6,2,1,2,0,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,1,8,1,9,8,1,1,1,1,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,3,7,0,10,4,3,2,1,0,0,1,0,0,S-15
ACCY,202,Accounting and Accountancy II,4,12,2,5,4,1,2,3,1,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,2,4,3,5,8,3,4,1,0,0,0,0,1,S-15
ACCY,202,Accounting and Accountancy II,4,8,2,6,2,3,0,4,0,0,0,0,0,S-15
ACCY,202,Accounting and Accountancy II,2,6,1,12,5,2,0,1,1,0,0,0,1,S-15
ACCY,202,Accounting and Accountancy II,5,5,1,9,4,2,1,3,0,0,1,0,0,S-15
ACCY,202,Accounting and Accountancy II,2,8,0,8,7,2,2,1,1,0,0,0,1,S-15
ACCY,202,Accounting and Accountancy II,1,9,1,12,1,5,2,1,1,0,1,0,0,S-15
ACCY,202,Accounting and Accountancy II,4,3,4,7,8,0,2,3,1,0,1,0,0,F-16
ACCY,202,Accounting and Accountancy II,4,8,4,13,5,1,6,3,2,0,0,0,0,F-16
ACCY,202,Accounting and Accountancy II,8,4,5,14,1,0,7,3,1,0,1,0,0,F-16
ACCY,202,Accounting and Accountancy II,4,8,1,14,8,3,3,1,1,0,0,0,0,F-16
ACCY,202,Accounting and Accountancy II,5,5,7,14,3,0,4,7,0,0,0,0,1,F-16
ACCY,202,Accounting and Accountancy II,3,8,6,9,6,0,6,3,1,0,1,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,1,8,10,8,4,5,1,1,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,1,4,6,12,10,5,1,0,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,0,2,3,16,9,5,1,2,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,1,7,8,6,9,2,1,0,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,2,8,4,9,5,6,0,1,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,1,1,9,6,7,6,4,0,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,1,5,5,6,6,2,1,2,2,0,0,0,1,F-15
ACCY,301,Atg Measurement & Disclosure,0,3,6,11,11,6,1,1,0,0,0,0,0,F-15
ACCY,301,Atg Measurement & Disclosure,3,6,0,2,4,3,1,1,1,0,0,0,0,S-16
ACCY,301,Atg Measurement & Disclosure,4,11,0,6,3,3,1,1,0,0,0,1,0,S-16
ACCY,301,Atg Measurement & Disclosure,4,7,0,3,5,8,2,1,0,0,0,0,0,S-16
ACCY,301,Atg Measurement & Disclosure,4,7,0,4,5,5,0,2,1,0,0,0,1,S-16
ACCY,301,Atg Measurement & Disclosure,5,9,0,2,8,3,2,1,0,0,0,0,0,S-16
ACCY,301,Atg Measurement & Disclosure,1,3,3,11,4,3,0,0,0,0,0,0,0,S-16
ACCY,301,Atg Measurement & Disclosure,1,3,6,3,7,10,3,2,0,0,0,0,0,S-15
ACCY,301,Atg Measurement & Disclosure,3,10,12,3,10,2,0,0,0,0,0,0,0,S-15
ACCY,301,Atg Measurement & Disclosure,2,6,11,6,10,3,0,2,0,0,0,0,0,S-15
ACCY,301,Atg Measurement & Disclosure,0,8,11,9,7,3,0,1,0,0,0,0,0,S-15
ACCY,301,Atg Measurement & Disclosure,0,9,14,17,1,2,0,1,0,0,0,0,0,S-15
ACCY,301,Atg Measurement & Disclosure,0,6,3,5,3,4,2,1,1,0,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,6,5,3,3,5,2,0,1,0,0,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,4,5,1,6,4,2,2,0,0,0,1,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,0,8,4,5,1,1,3,2,0,1,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,2,3,1,6,8,0,0,0,1,0,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,1,4,5,4,5,3,4,0,0,0,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,2,3,7,3,4,6,0,0,0,0,0,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,1,7,6,6,2,0,0,0,0,0,1,0,0,F-16
ACCY,301,Atg Measurement & Disclosure,4,3,4,4,7,2,0,0,0,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,1,7,6,6,11,3,1,2,0,0,0,0,1,F-15
ACCY,302,Decision Making for Atg,0,9,9,7,5,2,2,1,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,1,5,5,10,7,1,2,0,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,0,8,9,5,7,6,1,2,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,0,4,8,8,9,5,1,0,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,0,5,9,10,9,5,0,0,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,2,3,6,10,12,6,0,0,0,0,0,0,0,F-15
ACCY,302,Decision Making for Atg,0,6,4,10,3,1,1,0,0,0,0,0,0,S-16
ACCY,302,Decision Making for Atg,0,4,5,9,2,4,1,0,0,0,0,0,0,S-16
ACCY,302,Decision Making for Atg,0,7,5,7,4,4,0,1,1,0,1,0,0,S-16
ACCY,302,Decision Making for Atg,0,3,8,12,2,1,1,0,0,0,0,0,0,S-16
ACCY,302,Decision Making for Atg,0,4,5,4,3,7,2,3,0,0,0,0,0,S-16
ACCY,302,Decision Making for Atg,0,6,3,3,9,0,1,0,0,0,1,0,0,S-16
ACCY,302,Decision Making for Atg,0,8,8,17,2,1,2,1,0,0,0,0,0,S-15
ACCY,302,Decision Making for Atg,0,2,9,12,6,1,4,2,1,0,0,0,0,S-15
ACCY,302,Decision Making for Atg,0,3,13,9,5,4,2,0,0,0,0,0,0,S-15
ACCY,302,Decision Making for Atg,0,6,12,11,7,2,1,0,0,0,0,0,0,S-15
ACCY,302,Decision Making for Atg,0,3,12,7,6,7,3,0,0,1,0,0,0,S-15
ACCY,302,Decision Making for Atg,0,6,6,3,14,3,1,0,1,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,0,6,9,7,11,0,0,0,0,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,1,2,11,10,5,2,0,0,1,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,0,1,10,11,11,0,0,1,0,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,0,6,8,12,2,4,1,0,0,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,4,3,5,11,6,3,1,1,0,0,0,0,0,F-16
ACCY,302,Decision Making for Atg,2,6,9,10,2,3,1,0,2,0,0,0,0,F-16
ACCY,303,Atg Institutions and Reg,1,6,9,14,4,1,1,1,0,1,1,2,1,F-15
ACCY,303,Atg Institutions and Reg,2,11,14,11,1,0,1,2,0,0,0,1,0,F-15
ACCY,303,Atg Institutions and Reg,1,14,7,7,10,0,3,2,0,0,0,0,0,F-15
ACCY,303,Atg Institutions and Reg,3,13,8,3,11,3,2,1,0,0,0,0,0,F-15
ACCY,303,Atg Institutions and Reg,3,5,11,5,7,3,4,4,0,0,1,0,0,F-15
ACCY,303,Atg Institutions and Reg,3,4,10,4,1,0,5,1,0,0,1,0,0,S-16
ACCY,303,Atg Institutions and Reg,4,3,5,4,7,2,2,0,0,0,0,1,1,S-16
ACCY,303,Atg Institutions and Reg,2,6,6,3,5,0,4,0,0,0,0,0,0,S-16
ACCY,303,Atg Institutions and Reg,3,3,3,2,3,1,3,0,0,2,0,1,0,S-16
ACCY,303,Atg Institutions and Reg,5,10,6,3,2,3,0,0,2,0,0,0,1,S-16
ACCY,303,Atg Institutions and Reg,4,11,4,4,1,1,1,2,2,0,0,0,0,S-16
ACCY,303,Atg Institutions and Reg,2,7,4,5,2,4,5,0,0,1,0,0,1,S-16
ACCY,303,Atg Institutions and Reg,1,6,6,8,2,3,2,2,0,0,0,0,0,S-16
ACCY,303,Atg Institutions and Reg,1,4,9,5,2,2,2,1,3,1,1,1,0,S-15
ACCY,303,Atg Institutions and Reg,2,6,9,4,6,2,2,0,1,0,0,0,0,S-15
ACCY,303,Atg Institutions and Reg,2,4,8,7,2,2,2,0,0,0,1,0,0,S-15
ACCY,303,Atg Institutions and Reg,1,7,3,2,5,1,1,0,1,1,1,1,0,S-15
ACCY,303,Atg Institutions and Reg,5,15,3,5,1,1,1,1,0,1,0,0,0,S-15
ACCY,303,Atg Institutions and Reg,5,11,3,3,3,4,0,1,2,0,0,1,0,S-15
ACCY,303,Atg Institutions and Reg,2,7,4,4,4,6,4,0,0,0,1,2,0,S-15
ACCY,303,Atg Institutions and Reg,1,2,11,6,7,1,0,2,0,0,0,1,0,F-16
ACCY,303,Atg Institutions and Reg,1,12,9,5,4,1,0,0,1,0,0,2,1,F-16
ACCY,303,Atg Institutions and Reg,2,12,10,3,6,2,0,0,1,1,0,0,0,F-16
ACCY,303,Atg Institutions and Reg,1,12,4,7,4,6,2,0,0,1,0,0,0,F-16
ACCY,303,Atg Institutions and Reg,0,10,11,9,2,0,0,0,1,0,1,3,0,F-16
ACCY,303,Atg Institutions and Reg,0,6,6,7,4,10,0,0,2,0,0,1,0,F-16
ACCY,304,Accounting Control Systems,1,9,3,2,5,2,0,2,0,0,1,1,0,F-15
ACCY,304,Accounting Control Systems,1,11,2,8,4,1,1,1,0,1,0,1,0,F-15
ACCY,304,Accounting Control Systems,1,4,7,12,3,2,1,0,2,0,0,0,0,F-15
ACCY,304,Accounting Control Systems,0,4,10,10,5,0,1,0,0,1,0,0,1,F-15
ACCY,304,Accounting Control Systems,0,9,8,8,4,2,1,1,0,0,1,0,0,F-15
ACCY,304,Accounting Control Systems,0,3,9,10,9,1,1,1,0,0,0,0,0,F-15
ACCY,304,Accounting Control Systems,0,4,8,12,6,4,0,0,0,0,0,0,0,F-15
ACCY,304,Accounting Control Systems,1,12,4,8,6,0,0,5,0,0,1,0,0,S-16
ACCY,304,Accounting Control Systems,2,10,7,6,4,5,1,0,2,0,0,0,0,S-16
ACCY,304,Accounting Control Systems,4,4,16,2,2,3,1,0,0,0,0,0,2,S-16
ACCY,304,Accounting Control Systems,4,6,11,10,2,1,0,3,0,0,1,0,0,S-16
ACCY,304,Accounting Control Systems,0,11,13,6,4,1,1,1,0,0,0,0,0,S-16
ACCY,304,Accounting Control Systems,0,6,7,7,5,0,1,7,0,0,2,0,0,S-16
ACCY,304,Accounting Control Systems,1,10,7,5,8,4,0,0,1,0,0,0,0,S-15
ACCY,304,Accounting Control Systems,2,2,13,5,4,8,0,0,0,0,0,1,0,S-15
ACCY,304,Accounting Control Systems,3,8,6,3,9,5,0,0,0,0,1,0,0,S-15
ACCY,304,Accounting Control Systems,0,8,9,11,3,1,1,0,1,1,0,0,0,S-15
ACCY,304,Accounting Control Systems,0,9,7,9,7,0,0,0,0,0,0,0,0,S-15
ACCY,304,Accounting Control Systems,0,5,5,5,6,3,0,1,0,1,0,0,2,S-15
ACCY,304,Accounting Control Systems,2,4,3,3,5,1,3,0,0,1,1,1,1,F-16
ACCY,304,Accounting Control Systems,0,14,4,5,7,0,0,1,1,0,1,0,0,F-16
ACCY,304,Accounting Control Systems,1,12,6,6,5,1,0,1,0,0,0,0,0,F-16
ACCY,304,Accounting Control Systems,0,13,0,6,9,0,2,1,0,0,0,0,1,F-16
ACCY,304,Accounting Control Systems,0,13,0,4,13,0,2,2,0,0,0,0,0,F-16
ACCY,304,Accounting Control Systems,0,18,0,3,7,0,2,2,0,1,0,0,0,F-16
ACCY,312,Principles of Taxation,1,9,7,7,7,4,1,0,0,0,2,0,0,F-15
ACCY,312,Principles of Taxation,1,9,8,8,5,3,1,3,1,0,0,0,0,F-15
ACCY,312,Principles of Taxation,2,10,6,8,4,0,2,2,1,0,0,0,0,F-15
ACCY,312,Principles of Taxation,1,2,4,11,5,1,1,1,0,2,0,1,0,F-15
ACCY,312,Principles of Taxation,3,7,11,7,2,1,0,1,1,0,0,0,1,F-15
ACCY,312,Principles of Taxation,2,10,6,14,3,0,1,0,1,1,0,1,0,F-15
ACCY,312,Principles of Taxation,0,7,0,0,22,0,0,1,0,0,0,0,0,S-16
ACCY,312,Principles of Taxation,0,14,0,0,14,0,0,1,0,0,0,0,1,S-16
ACCY,312,Principles of Taxation,2,7,7,3,9,0,1,0,0,0,0,0,0,S-16
ACCY,312,Principles of Taxation,0,14,0,0,13,0,0,3,0,0,3,0,0,S-16
ACCY,312,Principles of Taxation,2,7,9,7,4,2,1,0,0,0,0,0,0,S-16
ACCY,312,Principles of Taxation,4,4,6,5,6,7,0,0,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,0,6,6,14,4,4,2,0,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,2,4,5,9,5,4,0,0,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,1,5,10,8,4,10,0,0,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,3,9,0,2,10,2,2,1,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,3,4,10,7,5,3,0,1,0,0,0,0,0,S-15
ACCY,312,Principles of Taxation,0,6,4,5,5,7,2,1,1,0,2,0,0,F-16
ACCY,312,Principles of Taxation,1,9,3,9,7,1,2,1,0,0,0,0,0,F-16
ACCY,312,Principles of Taxation,3,9,7,5,9,2,0,0,0,0,0,0,0,F-16
ACCY,312,Principles of Taxation,0,5,11,8,3,1,1,0,1,0,1,0,1,F-16
ACCY,312,Principles of Taxation,6,2,17,5,3,1,2,0,0,0,0,2,0,F-16
ACCY,312,Principles of Taxation,5,4,14,3,8,1,0,0,0,0,0,0,1,F-16
ACCY,398,Practical Problems in Atg,139,1,0,0,1,0,0,0,0,0,0,0,0,S-16
ACCY,398,Practical Problems in Atg,164,1,1,5,0,0,0,7,0,0,0,0,0,S-15
ACCY,405,Assurance and Attestation,0,2,8,8,6,4,2,0,0,0,0,0,0,F-15
ACCY,405,Assurance and Attestation,0,2,13,4,7,1,0,0,0,0,0,0,0,F-15
ACCY,405,Assurance and Attestation,0,3,9,10,6,1,0,0,0,0,0,0,0,F-15
ACCY,405,Assurance and Attestation,1,3,6,10,3,3,2,1,0,0,0,0,0,F-15
ACCY,405,Assurance and Attestation,0,1,10,4,4,2,2,0,1,0,0,0,0,F-15
ACCY,405,Assurance and Attestation,0,6,7,8,8,0,0,1,1,0,1,0,0,S-16
ACCY,405,Assurance and Attestation,1,14,2,2,16,1,0,1,1,0,0,0,0,S-16
ACCY,405,Assurance and Attestation,1,3,8,6,5,5,1,0,0,0,1,0,0,S-15
ACCY,405,Assurance and Attestation,0,9,5,10,12,3,1,0,0,0,0,0,0,S-15
ACCY,405,Assurance and Attestation,0,4,9,10,10,2,1,1,1,0,0,0,0,S-15
ACCY,405,Assurance and Attestation,0,9,4,8,8,6,2,0,0,0,0,0,0,S-15
ACCY,405,Assurance and Attestation,0,2,16,10,7,1,0,1,0,1,0,0,0,S-15
